population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2010,2926298.312996442,3443166.4626497217,2511233.525808578
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2010,0.0005045872474704,0.0005936096317563,0.0004292446012194
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2010,237.64095256433,279.61515556621,203.93407074535
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2010,690851.0032174999,1036323.1273155578,468684.3426948271
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2010,0.0001191244581533,0.0001817096152583,7.8949864939e-05
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2010,56.103128568769996,84.15847900602999,38.06125751271
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2011,780359.1268551941,1154963.4699902218,529177.6754712168
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2011,0.0001342049537466,0.0001952891294734,8.95880999069e-05
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2011,62.390597840770006,92.34064022206,42.30835573063
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2010,20119810.27343797,21485766.54108198,18922073.924452577
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2010,0.0034692559948257,0.00380951317055,0.0031445008021452
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2010,1633.9041230207001,1744.8316887997898,1536.6374822173
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2012,896171.7895416003,1282582.8044547737,613927.3266683511
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2012,0.0001547215192679,0.0002199247702916,0.0001049187734704
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2012,70.58335140115,101.01745429212,48.353506257060005
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2011,2904548.7588753966,3402463.7495778385,2483391.188435191
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2011,0.0004995985798595,0.0005869206142863,0.0004254972091271
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2011,232.22196971566,272.03083831824,198.54994397691
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2013,1085811.5829804786,1546770.1006030105,773778.788482634
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2013,0.0001889397984467,0.0002692050495059,0.0001341262507922
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2013,84.29380192404,120.07896630127999,60.07004986108
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2011,17103525.00418788,18201037.846679103,16034090.477004474
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2011,0.0029418107445437,0.0032248419111014,0.0026965804462551
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2011,1367.44623529452,1455.19363264592,1281.9437311187598
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2013,10474455.66562312,11477101.538169969,9670008.376384089
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2013,0.0018225824147524,0.0020081984787964,0.0016422507852823
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2013,813.1536861271899,890.99116171244,750.7027770373099
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2012,15239004.13991713,16298746.3760168,14233357.807929317
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2012,0.0026315719263348,0.0028506478575186,0.002418150772312
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2012,1200.23861135114,1283.70492832094,1121.0329397775101
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2014,1128595.2470723116,1610246.1190997406,781631.990500794
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2014,0.0001976527507074,0.0002816100682142,0.0001398244537065
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2014,86.40146271603,123.27503627536001,59.839120765480004
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2015,1342888.3599984248,1857750.1725450624,939932.3972144646
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2015,0.0002357869388939,0.0003261656638508,0.0001649914572432
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2015,101.42910798053,140.31690828875,70.99361901653
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2012,2857519.434960432,3335749.486993972,2451083.9048902937
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2012,0.0004934764415334,0.0005793232112679,0.0004199436314664
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2012,225.06097688772,262.72683538405,193.04972393863
